"Count","Source","Type","LiveAction","YearMade","PlexTitle","Episode","EpisodeName","StoryTime","PlexId","imdb","tmdb","tvdb"
1,"UPN","Show","True",2001,"Star Trek: Enterprise","1x01","Broken Bow",,"NULL","NULL","NULL","NULL"
2,"UPN","Show","True",2001,"Star Trek: Enterprise","1x01","Broken Bow (1)",,"NULL","NULL","NULL","NULL"
3,"UPN","Show","True",2001,"Star Trek: Enterprise","1x02","Broken Bow (2)",,"NULL","NULL","NULL","NULL"
4,"UPN","Show","True",2001,"Star Trek: Enterprise","1x01","Broken Bow, Part 1",,"NULL","NULL","NULL","NULL"
5,"UPN","Show","True",2001,"Star Trek: Enterprise","1x02","Broken Bow, Part 2",,"NULL","NULL","NULL","NULL"
6,"UPN","Show","True",2001,"Star Trek: Enterprise","1x03","Fight or Flight",,"NULL","NULL","NULL","NULL"
7,"UPN","Show","True",2001,"Star Trek: Enterprise","1x04","Strange New World",,"NULL","NULL","NULL","NULL"
8,"UPN","Show","True",2001,"Star Trek: Enterprise","1x05","Unexpected",,"NULL","NULL","NULL","NULL"
9,"UPN","Show","True",2001,"Star Trek: Enterprise","1x06","Terra Nova",,"NULL","NULL","NULL","NULL"
10,"UPN","Show","True",2001,"Star Trek: Enterprise","1x07","The Andorian Incident",,"NULL","NULL","NULL","NULL"
11,"UPN","Show","True",2001,"Star Trek: Enterprise","1x08","Breaking the Ice",,"NULL","NULL","NULL","NULL"
12,"UPN","Show","True",2001,"Star Trek: Enterprise","1x09","Civilization",,"NULL","NULL","NULL","NULL"
13,"UPN","Show","True",2001,"Star Trek: Enterprise","1x10","Fortunate Son",,"NULL","NULL","NULL","NULL"
14,"UPN","Show","True",2001,"Star Trek: Enterprise","1x11","Cold Front",,"NULL","NULL","NULL","NULL"
15,"UPN","Show","True",2002,"Star Trek: Enterprise","1x12","Silent Enemy",,"NULL","NULL","NULL","NULL"
16,"UPN","Show","True",2002,"Star Trek: Enterprise","1x13","Dear Doctor",,"NULL","NULL","NULL","NULL"
17,"UPN","Show","True",2002,"Star Trek: Enterprise","1x14","Sleeping Dogs",,"NULL","NULL","NULL","NULL"
18,"UPN","Show","True",2002,"Star Trek: Enterprise","1x15","Shadows of P'Jem",,"NULL","NULL","NULL","NULL"
