"Count","Series","Title","Episode","Year","PlexId","imdb","tmdb","tvdb"
1,"ENT","Broken Bow","1x01","2001","NULL","NULL","NULL","NULL"
2,"ENT","Broken Bow (1)","1x01","2001","NULL","NULL","NULL","NULL"
3,"ENT","Broken Bow (2)","1x02","2001","NULL","NULL","NULL","NULL"
4,"ENT","Broken Bow, Part 1","1x01","2001","NULL","NULL","NULL","NULL"
5,"ENT","Broken Bow, Part 2","1x02","2001","NULL","NULL","NULL","NULL"
6,"ENT","Star Trek Fight or Flight","1x03","2001","NULL","NULL","NULL","NULL"
7,"ENT","Star Trek Strange New World","1x04","2001","NULL","NULL","NULL","NULL"
8,"ENT","Star Trek Unexpected","1x05","2001","NULL","NULL","NULL","NULL"
9,"ENT","Star Trek Terra Nova","1x06","2001","NULL","NULL","NULL","NULL"
10,"ENT","Star Trek The Andorian Incident","1x07","2001","NULL","NULL","NULL","NULL"
11,"ENT","Star Trek Breaking the Ice","1x08","2001","NULL","NULL","NULL","NULL"
12,"ENT","Star Trek Civilization","1x09","2001","NULL","NULL","NULL","NULL"
13,"ENT","Star Trek Fortunate Son","1x10","2001","NULL","NULL","NULL","NULL"
14,"ENT","Star Trek Cold Front","1x11","2001","NULL","NULL","NULL","NULL"
15,"ENT","Star Trek Silent Enemy","1x12","2002","NULL","NULL","NULL","NULL"
16,"ENT","Star Trek Dear Doctor","1x13","2002","NULL","NULL","NULL","NULL"
17,"ENT","Star Trek Sleeping Dogs","1x14","2002","NULL","NULL","NULL","NULL"
18,"ENT","Star Trek Shadows of P'Jem","1x15","2002","NULL","NULL","NULL","NULL"
19,"ENT","Star Trek Shuttlepod One","1x16","2002","NULL","NULL","NULL","NULL"
20,"ENT","Star Trek Fusion","1x17","2002","NULL","NULL","NULL","NULL"
21,"ENT","Star Trek Rogue Planet","1x18","2002","NULL","NULL","NULL","NULL"
22,"ENT","Star Trek Acquisition","1x19","2002","NULL","NULL","NULL","NULL"
23,"ENT","Star Trek Oasis","1x20","2002","NULL","NULL","NULL","NULL"
24,"ENT","Star Trek Detained","1x21","2002","NULL","NULL","NULL","NULL"
25,"ENT","Star Trek Vox Sola","1x22","2002","NULL","NULL","NULL","NULL"
26,"ENT","Star Trek Fallen Hero","1x23","2002","NULL","NULL","NULL","NULL"
27,"ENT","Star Trek Desert Crossing","1x24","2002","NULL","NULL","NULL","NULL"
28,"ENT","Star Trek Two Days and Two Nights","1x25","2002","NULL","NULL","NULL","NULL"
29,"ENT","Shockwave","1x26","2002","NULL","NULL","NULL","NULL"
30,"ENT","Shockwave (1)","1x26","2002","NULL","NULL","NULL","NULL"
31,"ENT","Shockwave (2)","2x01","2002","NULL","NULL","NULL","NULL"
32,"ENT","Shockwave, Part 1","1x26","2002","NULL","NULL","NULL","NULL"
33,"ENT","Shockwave, Part 2","2x01","2002","NULL","NULL","NULL","NULL"
34,"ENT","Star Trek Carbon Creek","2x02","2002","NULL","NULL","NULL","NULL"
35,"ENT","Star Trek Minefield","2x03","2002","NULL","NULL","NULL","NULL"
36,"ENT","Star Trek Dead Stop","2x04","2002","NULL","NULL","NULL","NULL"
37,"ENT","Star Trek A Night in Sickbay","2x05","2002","NULL","NULL","NULL","NULL"
38,"ENT","Star Trek Marauders","2x06","2002","NULL","NULL","NULL","NULL"
39,"ENT","Star Trek The Seventh","2x07","2002","NULL","NULL","NULL","NULL"
40,"ENT","Star Trek The Communicator","2x08","2002","NULL","NULL","NULL","NULL"
41,"ENT","Star Trek Singularity","2x09","2002","NULL","NULL","NULL","NULL"
42,"ENT","Star Trek Vanishing Point","2x10","2002","NULL","NULL","NULL","NULL"
43,"ENT","Star Trek Precious Cargo","2x11","2002","NULL","NULL","NULL","NULL"
44,"ENT","Star Trek The Catwalk","2x12","2002","NULL","NULL","NULL","NULL"
45,"ENT","Star Trek Dawn","2x13","2003","NULL","NULL","NULL","NULL"
46,"ENT","Star Trek Stigma","2x14","2003","NULL","NULL","NULL","NULL"
47,"ENT","Star Trek Cease Fire","2x15","2003","NULL","NULL","NULL","NULL"
48,"ENT","Star Trek Future Tense","2x16","2003","NULL","NULL","NULL","NULL"
49,"ENT","Star Trek Canamar","2x17","2003","NULL","NULL","NULL","NULL"
50,"ENT","Star Trek The Crossing","2x18","2003","NULL","NULL","NULL","NULL"
51,"ENT","Star Trek Judgment","2x19","2003","NULL","NULL","NULL","NULL"
52,"ENT","Star Trek Horizon","2x20","2003","NULL","NULL","NULL","NULL"
53,"ENT","Star Trek The Breach","2x21","2003","NULL","NULL","NULL","NULL"
54,"ENT","Star Trek Cogenitor","2x22","2003","NULL","NULL","NULL","NULL"
55,"ENT","Star Trek Regeneration","2x23","2003","NULL","NULL","NULL","NULL"
56,"ENT","Star Trek First Flight","2x24","2003","NULL","NULL","NULL","NULL"
57,"ENT","Star Trek Bounty","2x25","2003","NULL","NULL","NULL","NULL"
58,"ENT","Star Trek The Expanse","2x26","2003","NULL","NULL","NULL","NULL"
59,"ENT","Star Trek The Xindi","3x01","2003","NULL","NULL","NULL","NULL"
60,"ENT","Star Trek Anomaly","3x02","2003","NULL","NULL","NULL","NULL"
61,"ENT","Star Trek Extinction","3x03","2003","NULL","NULL","NULL","NULL"
62,"ENT","Star Trek Rajiin","3x04","2003","NULL","NULL","NULL","NULL"
63,"ENT","Star Trek Impulse","3x05","2003","NULL","NULL","NULL","NULL"
64,"ENT","Star Trek Exile","3x06","2003","NULL","NULL","NULL","NULL"
65,"ENT","Star Trek The Shipment","3x07","2003","NULL","NULL","NULL","NULL"
66,"ENT","Star Trek Twilight","3x08","2003","NULL","NULL","NULL","NULL"
67,"ENT","Star Trek North Star","3x09","2003","NULL","NULL","NULL","NULL"
68,"ENT","Star Trek Similitude","3x10","2003","NULL","NULL","NULL","NULL"
